,tags,Allen_electronegativity_A,E_vacum_level_A,gap_dir_A,HSE_CBM_A,HSE_VBM_A,lattice_a_A,lattice_b_A,lattice_c_A,lattice_alpha_A,lattice_beta_A,lattice_gamma_A,Allen_electronegativity_B,E_vacum_level_B,gap_dir_B,HSE_CBM_B,HSE_VBM_B,lattice_a_B,lattice_b_B,lattice_c_B,lattice_alpha_B,lattice_beta_B,lattice_gamma_B,Type,Ecc,Evv,Ecv,Etotal,Allen_elec_diff,Ecc_Ecv_diff,Type_Allen_010,Type_Allen_010_diff_06,A-CBM,A-VBM,B-CBM,B-VBM,A-band gap,B-band gap,Low X(H2),Low X(O2)
3604,Te2Mo-2dm-5370/Bi2Se3-2dm-4453,1.938647658,3.768,TRUE,-3.574,-5.1733,3.520389,3.520388486,23.619353,90,90,119.9999954,2.308254936,3.465,FALSE,-5.0144,-6.4708,4.151019,4.151020198,27.040325,90,90,60.00000158,Type-II_A,1.4404000000000003,1.2974999999999994,0.15890000000000004,2.8968,-0.369607278,1.2815000000000003,Z-scheme_A,Z-scheme_A,,,,,,,,
3607,Te2Mo-2dm-5370/BiBrO-2dm-3406,1.938647658,3.768,TRUE,-3.574,-5.1733,3.520389,3.520388486,23.619353,90,90,119.9999954,2.908780877,3.357,FALSE,-4.7152,-8.0556,3.929191,3.929191,25.731456,90,90,90,Type-II_A,1.1412000000000004,2.8823,0.45809999999999995,4.4816,-0.970133219,0.6831000000000005,Z-scheme_A,Z-scheme_A,,,,,,,,
3613,Te2Mo-2dm-5370/PdCl2-2dm-3243,1.938647658,3.768,TRUE,-3.574,-5.1733,3.520389,3.520388486,23.619353,90,90,119.9999954,2.366052932,2.159,FALSE,-5.0744,-7.6098,3.890027,6.443039,22.605336,90,90,90,Type-II_A,1.5004,2.4364999999999997,0.0989,4.0358,-0.427405274,1.4014999999999995,Z-scheme_A,Z-scheme_A,,,,,,,,
3616,Te2Mo-2dm-5370/CuSe2Cl-2dm-4225,1.938647658,3.768,TRUE,-3.574,-5.1733,3.520389,3.520388486,23.619353,90,90,119.9999954,2.446860134,1.775,FALSE,-4.6957,-6.4044,4.911456,7.666946,22.779884,90,90,90,Type-II_A,1.1217000000000006,1.2310999999999996,0.4775999999999998,2.8304,-0.508212476,0.6441000000000008,Z-scheme_A,Z-scheme_A,,,,,,,,
11796,TeRhCl-2dm-3467/CuClO2-2dm-5076,2.152458376,2.769,TRUE,-4.1485,-6.4446,3.673267,6.644511,22.711027,90,90,90,2.927859221,1.785,TRUE,-6.271,-7.9935,3.589639,6.904116,22.721063,90,90,90,Type-II_A,2.1224999999999996,1.5488999999999997,0.17360000000000042,3.8449999999999998,-0.775400845,1.9488999999999992,Z-scheme_A,Z-scheme_A,-4.848532,-7.222228,-6.640726,-8.160409,2.373696,1.519683,-0.351,2.433
3633,Te2Mo-2dm-5370/HfSe2-2dm-4424,1.938647658,3.768,TRUE,-3.574,-5.1733,3.520389,3.520388486,23.619353,90,90,119.9999954,2.199626883,2.322,FALSE,-4.8264,-6.1361,3.76173,3.761729357,23.150314,90,90,120.0000057,Type-II_A,1.2523999999999997,0.9627999999999997,0.34690000000000065,2.5621,-0.260979225,0.9054999999999991,Z-scheme_A,Z-scheme_A,,,,,,,,
3654,Te2Mo-2dm-5370/SbClO-2dm-4179,1.938647658,3.768,TRUE,-3.574,-5.1733,3.520389,3.520388486,23.619353,90,90,119.9999954,2.98255712,3.669,FALSE,-4.7814,-7.6944,3.765332,3.765332,25.241912,90,90,90,Type-II_A,1.2073999999999998,2.5210999999999997,0.3919000000000006,4.1204,-1.043909462,0.8154999999999992,Z-scheme_A,Z-scheme_A,,,,,,,,
3687,PdS2-2dm-3017/AuClO2-2dm-3945,2.114105188,1.961,FALSE,-4.0184,-6.2861,5.43846,5.545414,21.258494,90,90,90,2.848545305,1.873,FALSE,-5.5614,-7.5309,3.884086,7.280273,22.803907,90,90,90,Type-II_A,1.5430000000000001,1.2447999999999997,0.7247000000000003,3.5125,-0.734440117,0.8182999999999998,Z-scheme_A,Z-scheme_A,,,,,,,,
3702,PdS2-2dm-3017/WF5-2dm-4702,2.114105188,1.961,FALSE,-4.0184,-6.2861,5.43846,5.545414,21.258494,90,90,90,3.919501276,1.768,FALSE,-5.6745,-7.469,3.670817,4.412889,23.822026,90,90,90,Type-II_A,1.6561000000000003,1.1829,0.6116000000000001,3.4506000000000006,-1.805396088,1.0445000000000002,Z-scheme_A,Z-scheme_A,,,,,,,,
3705,PdS2-2dm-3017/TiMn2O6-2dm-4397,2.114105188,1.961,FALSE,-4.0184,-6.2861,5.43846,5.545414,21.258494,90,90,90,3.081371048,2.211,FALSE,-6.2463,-9.5867,2.917332,7.69231394,21.926218,90,90,100.9309837,Type-II_A,2.2279,3.3006,0.0398,5.568300000000001,-0.96726586,2.1880999999999995,Z-scheme_A,Z-scheme_A,,,,,,,,
3715,PdS2-2dm-3017/AuO2F-2dm-4797,2.114105188,1.961,FALSE,-4.0184,-6.2861,5.43846,5.545414,21.258494,90,90,90,3.174905366,1.66,FALSE,-5.7171,-7.9989,3.831025,6.947884,22.082157,90,90,90,Type-II_A,1.6987000000000005,1.7127999999999997,0.569,3.9805,-1.060800178,1.1297000000000006,Z-scheme_A,Z-scheme_A,,,,,,,,
3777,PdS2-2dm-3017/AuBrO2-2dm-4476,2.114105188,1.961,FALSE,-4.0184,-6.2861,5.43846,5.545414,21.258494,90,90,90,2.803278288,1.845,FALSE,-5.4666,-7.242,3.856275,7.477059,23.034943,90,90,90,Type-II_A,1.4482,0.9558999999999997,0.8195000000000006,3.2236000000000002,-0.6891731,0.6286999999999994,Z-scheme_A,Z-scheme_A,,,,,,,,
3800,PdS2-2dm-3017/TiNCl-2dm-3655,2.114105188,1.961,FALSE,-4.0184,-6.2861,5.43846,5.545414,21.258494,90,90,90,2.663997204,2.944,TRUE,-5.5874,-7.1332,3.256114,3.945636,25.224666,90,90,90,Type-II_A,1.569,0.8471000000000002,0.6987000000000005,3.1148000000000007,-0.549892016,0.8702999999999994,Z-scheme_A,Z-scheme_A,,,,,,,,
3804,PdS2-2dm-3017/CuClO2-2dm-5076,2.114105188,1.961,FALSE,-4.0184,-6.2861,5.43846,5.545414,21.258494,90,90,90,2.927859221,1.785,TRUE,-6.271,-7.9935,3.589639,6.904116,22.721063,90,90,90,Type-II_A,2.2526,1.7073999999999998,0.015100000000000335,3.9751000000000003,-0.813754033,2.2375,Z-scheme_A,Z-scheme_A,,,,,,,,
3806,PdS2-2dm-3017/V2CoO6-2dm-3124,2.114105188,1.961,FALSE,-4.0184,-6.2861,5.43846,5.545414,21.258494,90,90,90,3.06586768,1.664,FALSE,-6.1067,-8.6806,3.63341,7.605380597,24.947419,90,90,76.18009128,Type-II_A,2.0883000000000003,2.3945,0.17940000000000023,4.6622,-0.951762492,1.9089,Z-scheme_A,Z-scheme_A,,,,,,,,
3829,Sb2TeSe2-2dm-3937/WF5-2dm-4702,2.230129228,3.86,FALSE,-4.6657,-5.8709,4.117986,4.117985577,27.164394,90,90,59.9999966,3.919501276,1.768,FALSE,-5.6745,-7.469,3.670817,4.412889,23.822026,90,90,90,Type-II_A,1.0088,1.5981000000000005,0.19639999999999969,2.8033,-1.689372048,0.8124000000000002,Z-scheme_A,Z-scheme_A,,,,,,,,
3842,Sb2TeSe2-2dm-3937/AuO2F-2dm-4797,2.230129228,3.86,FALSE,-4.6657,-5.8709,4.117986,4.117985577,27.164394,90,90,59.9999966,3.174905366,1.66,FALSE,-5.7171,-7.9989,3.831025,6.947884,22.082157,90,90,90,Type-II_A,1.0514000000000001,2.128,0.1537999999999995,3.3331999999999997,-0.944776138,0.8976000000000006,Z-scheme_A,Z-scheme_A,,,,,,,,
3875,Sb2TeSe2-2dm-3937/AuI-2dm-3495,2.230129228,3.86,FALSE,-4.6657,-5.8709,4.117986,4.117985577,27.164394,90,90,59.9999966,2.117657398,2.63,FALSE,-2.799,-5.4343,4.231040784,4.23103949,24.122461,90,90,92.7938274,Type-II_B,1.8667000000000002,0.43659999999999943,0.7686000000000002,3.0719,0.11247183000000005,1.0981,Z-scheme_B,Z-scheme_B,,,,,,,,
3927,Sb2TeSe2-2dm-3937/TiNCl-2dm-3655,2.230129228,3.86,FALSE,-4.6657,-5.8709,4.117986,4.117985577,27.164394,90,90,59.9999966,2.663997204,2.944,TRUE,-5.5874,-7.1332,3.256114,3.945636,25.224666,90,90,90,Type-II_A,0.9216999999999995,1.2623000000000006,0.2835000000000001,2.4675000000000002,-0.433867976,0.6381999999999994,Z-scheme_A,Z-scheme_A,,,,,,,,
3966,MoN2-2dm-4068/NiBr2-2dm-3741,2.564861932,2.169,TRUE,-6.8279,-7.4793,3.604282,5.525302993,22.496499,90,90,70.96405323,2.40840295,2.244,FALSE,-4.074,-7.3548,3.646047,3.646047834,22.803043,90,90,59.9999985,Type-II_B,2.7539,0.12450000000000028,0.5269000000000004,3.4053000000000004,0.15645898199999975,2.2269999999999994,Z-scheme_B,Z-scheme_B,,,,,,,,
3973,MoN2-2dm-4068/BiI3-2dm-3628,2.564861932,2.169,TRUE,-6.8279,-7.4793,3.604282,5.525302993,22.496499,90,90,70.96405323,2.313024995,2.437,FALSE,-3.8473,-7.0898,7.596411,7.596411333,23.704174,90,90,59.9999971,Type-II_B,2.9805999999999995,0.38949999999999996,0.2619000000000007,3.632,0.25183693699999976,2.718699999999999,Z-scheme_B,Z-scheme_B,,,,,,,,
3978,MoN2-2dm-4068/MnBr2-2dm-3606,2.564861932,2.169,TRUE,-6.8279,-7.4793,3.604282,5.525302993,22.496499,90,90,70.96405323,2.404358252,2.169,FALSE,-3.1609,-7.2941,3.851835,3.85183615,23.107331,90,90,119.9999987,Type-II_B,3.667,0.18520000000000003,0.4662000000000006,4.3184000000000005,0.1605036799999997,3.200799999999999,Z-scheme_B,Z-scheme_B,,,,,,,,
3981,MoN2-2dm-4068/RhBr3-2dm-3618,2.564861932,2.169,TRUE,-6.8279,-7.4793,3.604282,5.525302993,22.496499,90,90,70.96405323,2.356651834,2.164,FALSE,-4.3552,-7.2445,6.353159,6.353158729,22.819371,90,90,120.0004573,Type-II_B,2.4726999999999997,0.2347999999999999,0.41660000000000075,3.1241000000000003,0.2082100979999999,2.056099999999999,Z-scheme_B,Z-scheme_B,,,,,,,,
4013,MoN2-2dm-4068/HfS2-2dm-3834,2.564861932,2.169,TRUE,-6.8279,-7.4793,3.604282,5.525302993,22.496499,90,90,70.96405323,2.349473434,2.466,FALSE,-4.9353,-7.0287,3.633023,3.633023068,22.876961,90,90,120.0000085,Type-II_B,1.8925999999999998,0.45060000000000056,0.2008000000000001,2.5440000000000005,0.21538849799999982,1.6917999999999997,Z-scheme_B,Z-scheme_B,,,,,,,,
4033,MoN2-2dm-4068/GaS-2dm-3608,2.564861932,2.169,TRUE,-6.8279,-7.4793,3.604282,5.525302993,22.496499,90,90,70.96405323,2.434099539,2.967,FALSE,-3.5549,-6.8426,3.60874,3.608740419,24.64035,90,90,119.9999962,Type-II_B,3.2729999999999997,0.6367000000000003,0.0147,3.9244000000000003,0.13076239299999992,3.2582999999999993,Z-scheme_B,Z-scheme_B,,,,,,,,
4039,MoN2-2dm-4068/Mn2CrO6-2dm-4419,2.564861932,2.169,TRUE,-6.8279,-7.4793,3.604282,5.525302993,22.496499,90,90,70.96405323,3.036590256,2.287,FALSE,-7.475,-9.4378,2.848578,7.682055522,21.927806,90,90,100.6847267,Type-II_A,0.6471,1.958499999999999,0.0043,2.6098999999999997,-0.471728324,0.6427999999999994,Z-scheme_A,Z-scheme_A,,,,,,,,
